Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592
0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833
0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254
1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814
1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182
0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614
0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415
1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712
0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919
1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421
0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625
0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519
0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815
0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958
1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117
0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717
0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278
1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176
0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323
0,0,1,10.8352064,9,0,2,0,0,1,0,2.395784095
1,0,3,2.621597234,2,0,3,0,0,0,1,2.7784113
0,0,2,15.32314203,25,0,1,1,0,0,0,0.346894037
1,1,0,18.64887957,29,1,1,0,0,0,0,0.312546231
1,3,4,18.94613798,20,0,2,1,0,0,0,1.770131877
1,0,1,7.380354648,15,0,2,0,0,0,0,1.505155622
1,0,3,2.710337471,5,0,4,0,0,1,0,2.977851918
0,0,1,10.36799253,2,0,2,0,1,0,0,2.948717672
1,0,3,2.252184587,8,0,3,0,0,1,0,2.14520472
0,0,0,18.67974837,10,0,3,1,0,0,0,2.854803929
0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441726
0,2,2,5.055317199,12,1,0,0,1,0,0,1.72712031
0,0,3,8.132730538,17,0,4,0,0,0,1,1.847535471
0,0,3,7.663289371,25,0,1,0,1,0,0,0.384616973
0,3,3,15.89325785,21,0,0,1,1,0,0,0.949406098
0,0,3,9.126336411,27,1,2,1,1,0,0,1.140959418
0,3,1,3.4153652,23,0,1,0,0,0,0,0.26147226
0,0,1,5.34419791,26,1,1,0,0,0,0,0.218284857
0,2,1,10.1822677,21,1,1,0,1,0,0,1.067763551
1,1,1,2.949078349,3,1,1,1,1,0,0,3.018905858
1,2,1,12.23311351,21,1,3,1,1,0,0,1.526867832
1,3,2,11.31494613,23,1,1,0,0,0,0,1.0582874
0,0,1,14.29404633,7,0,2,0,0,0,0,2.625128098
1,3,2,18.75409231,12,1,4,0,0,0,0,2.808754822
1,0,1,18.24509122,9,0,2,0,1,0,0,2.888891669
1,0,1,18.92151236,1,1,3,1,1,0,0,4
0,0,2,4.89431194,7,0,4,0,0,1,0,2.515300272
0,1,2,2.631306133,5,0,1,1,0,0,0,2.56376543
0,0,2,6.04553401,15,0,2,0,0,0,0,1.703611803
0,1,2,17.90170346,17,0,3,0,0,1,0,2.099885157
1,1,1,19.44106949,16,0,4,1,0,0,0,2.461046963
1,2,2,17.18649902,5,0,3,0,0,0,0,2.935477192
1,2,0,2.200354423,12,1,1,1,0,1,0,1.986378059
1,0,1,18.94855996,22,0,4,0,0,1,0,1.571544191
0,0,2,8.467160547,13,0,1,0,1,0,0,1.66431069
0,0,0,0.186205815,29,1,2,1,1,0,0,0.756259167
0,0,1,8.847874815,25,0,2,0,1,0,0,0.802769539
1,0,4,0.921383394,20,0,2,0,1,1,0,1.342387178
0,0,4,10.87755842,29,0,3,1,0,0,0,0.286571288
0,0,1,6.771080549,9,1,3,0,1,0,0,2.613838694
1,3,0,9.468698672,23,0,3,0,1,0,0,0.929012555
1,1,1,12.26340721,10,0,0,1,0,1,0,1.892758696
0,0,1,17.37602192,12,0,2,0,0,1,0,2.331261549
0,1,3,13.23803153,11,0,3,0,1,0,0,2.234238473
0,0,1,8.68097737,8,0,2,0,1,0,0,2.385828219
0,0,2,16.38855707,3,1,4,0,0,0,0,3.347356744
0,1,1,18.11164275,6,1,3,1,0,0,0,3.261855307
0,0,4,2.395199329,23,0,3,0,1,0,0,1.039623879
1,0,1,10.63865955,28,0,0,0,1,0,0,0.027818625
1,3,2,5.690239195,21,1,3,0,0,1,0,1.329964538
1,2,1,0.941223958,1,0,4,0,0,1,0,3.283916522
0,1,2,13.3709339,6,0,2,1,0,0,0,2.937454182
1,1,1,17.25541555,28,0,3,0,0,1,1,0.738868203
0,1,1,3.25805309,8,0,2,1,1,0,0,2.556801663
0,0,3,16.24827315,4,1,2,0,0,0,0,3.300928569
1,0,3,17.06791467,14,0,3,1,0,1,0,2.200682947
0,0,3,18.28680885,17,0,3,0,1,0,0,1.855865573
0,0,2,5.305701782,3,0,3,0,0,0,0,2.734401494
1,1,3,18.0790613,18,1,1,1,1,0,0,2.131737297
1,0,0,6.413255095,19,0,1,0,0,0,0,0.979769911
1,3,1,11.04676027,25,0,3,0,1,0,0,0.994325024
0,3,1,1.010149417,6,0,1,0,1,0,0,2.074699977
1,2,2,0.877621767,25,0,2,0,0,0,0,0.500508036
1,1,1,14.40746425,7,0,0,1,1,0,0,2.532438418
0,2,1,8.88959956,16,0,1,0,1,0,0,1.463378036
1,0,2,5.125847507,12,0,3,1,1,0,0,2.342836773
1,2,3,3.80826992,23,0,3,0,0,0,0,1.158846334
1,0,1,13.39906982,20,1,1,1,0,1,1,1.523748745
0,2,1,0.008030881,27,0,1,0,0,1,0,0
0,0,1,16.11782338,22,0,0,1,0,1,0,1.058622014
0,2,1,1.584992123,10,0,2,0,0,1,1,2.229740184
0,3,1,3.829792298,26,0,1,0,0,0,1,0.194743281
1,0,2,7.724727906,0,0,2,1,1,0,0,3.506920071
0,0,2,9.697174794,1,1,3,0,0,0,0,3.552286943
0,3,2,7.099902316,16,1,3,0,1,0,0,2.238491354
1,0,1,6.4142433,4,0,1,1,1,0,0,2.708472344
1,2,3,19.27832024,29,0,3,0,0,0,1,0.732908234
1,1,1,12.83159362,29,0,4,0,0,1,0,0.965482445
0,0,2,0.468659107,5,0,2,0,1,0,0,2.55523286
0,0,3,8.603518169,25,0,2,1,0,1,1,0.7443223
0,0,1,17.50017399,24,0,2,0,0,0,0,0.722056581
1,2,1,6.029123728,23,1,1,1,1,0,1,1.27122953
1,0,3,1.891126895,6,0,3,1,0,1,1,2.526142141
0,1,1,15.16769543,27,0,3,1,1,0,0,0.942415395
1,0,2,12.12027664,20,1,2,0,1,0,0,1.515639098
1,1,0,11.40625016,29,0,3,1,0,0,0,0.648273927
1,2,2,1.071531192,14,0,3,0,1,1,1,2.048850082
0,3,1,2.809980196,18,0,0,1,0,0,1,0.842295999
1,0,0,12.45098792,15,0,1,0,1,0,0,1.464187924
1,2,2,4.156476829,24,1,3,1,1,0,0,1.487946865
0,2,1,10.08140159,12,1,4,0,0,0,0,2.587565796
0,1,1,10.89763372,4,1,3,0,0,0,0,3.220806978
1,3,0,5.670143805,2,1,4,0,0,1,0,3.545159432
1,0,1,18.96850311,2,0,2,0,0,0,0,3.089598953
0,0,1,16.84928214,18,1,1,0,1,1,0,1.91995644
0,2,0,14.44747015,13,1,2,0,0,0,0,2.198593185
1,0,3,1.559877328,15,0,0,0,0,0,1,0.878212617
1,2,0,2.122600386,21,0,3,1,0,1,0,1.340368648
1,2,2,9.855626917,16,0,4,0,0,0,0,1.819511336
1,0,1,3.214266984,26,0,3,0,1,0,0,0.619350931
0,2,1,19.56530927,3,0,2,1,0,1,1,3.61946087
1,0,3,3.170404681,12,1,1,1,1,0,0,2.174902796
1,1,1,9.749356709,7,1,1,0,1,1,0,2.974406015
0,1,4,7.282421137,18,0,2,0,0,0,0,0.980735844
1,3,1,12.78772843,4,0,3,0,0,0,0,3.101673809
0,0,2,2.580728178,1,1,2,1,0,1,0,3.498257342
1,0,2,8.606328561,14,0,4,1,0,0,0,2.590553445
1,1,3,5.494100656,1,0,3,1,0,0,0,3.535003758
0,2,2,17.75503049,10,1,1,0,1,0,0,2.819921745
0,1,2,0.811714243,12,1,1,1,1,0,0,2.016596775
1,0,1,18.27454988,22,1,3,0,0,0,0,1.371185039
1,0,1,16.65988277,9,0,1,0,0,0,0,2.104795588
1,0,3,5.951414329,2,0,3,0,0,0,0,3.030439089
0,2,1,15.78581309,4,1,2,0,1,0,0,3.582421872
1,0,1,0.624271207,2,0,1,1,0,0,0,2.426546706
0,0,2,19.33731101,5,1,2,1,0,0,0,3.16143627
0,3,1,10.53189885,12,0,2,1,0,0,0,2.12263853
1,0,4,6.065620521,9,0,3,0,1,0,0,2.204860581
0,3,2,7.251664252,18,0,0,1,0,1,1,1.1829875
1,1,2,1.328107069,7,0,3,1,0,0,0,2.738795716
1,2,3,19.78699028,17,1,3,0,0,0,0,2.237901301
1,0,0,0.785838903,2,0,3,1,0,0,0,3.139481546
1,0,1,13.09814246,23,1,0,1,1,0,0,1.046044771
1,2,2,8.854718554,23,1,3,0,0,0,0,0.816458245
0,2,1,18.97832436,16,0,2,1,0,1,0,2.033544621
0,2,2,4.919994806,7,1,2,1,1,0,0,2.432078523
1,0,3,10.64173648,9,0,3,1,0,0,0,2.65977132
1,2,2,9.647124172,1,1,2,1,0,0,1,3.58888794
0,2,1,14.05732888,11,0,3,0,1,0,0,2.314587628
0,1,4,1.360204639,22,0,1,1,1,0,1,1.00722582
0,2,2,3.8757826,5,0,3,1,0,0,0,2.881612321
0,2,2,4.291296402,1,0,1,0,1,1,0,2.804504929
1,1,1,14.7630151,20,1,3,0,1,0,0,1.762921124
1,0,3,3.782773927,22,0,4,1,0,0,1,1.119911263
0,0,2,11.46983528,23,0,2,0,0,0,0,1.030657506
1,0,2,4.30487641,2,0,2,1,0,0,0,3.075619354
0,0,3,17.232499,16,1,3,1,1,0,0,2.631434065
1,0,1,18.84370909,28,0,0,0,1,1,1,0.503066907
0,0,2,10.3698595,6,0,2,0,0,0,0,2.784237837
1,0,3,7.046177684,28,0,2,0,0,0,0,0.247626765
0,0,1,4.6811555,20,0,3,0,0,0,1,1.18954877
0,2,2,0.99562003,4,1,3,1,0,0,1,3.375994009
1,3,3,5.370001524,22,1,3,0,0,0,0,1.293573556
0,0,2,13.0847156,0,1,3,0,0,1,1,3.718586904
1,3,2,10.67233863,7,0,3,1,0,0,0,2.670559615
1,1,3,18.88082557,11,1,2,1,0,0,0,2.369648013
0,0,3,7.92554525,13,0,2,0,1,0,0,1.62448682
1,0,1,13.87726685,15,1,2,1,1,0,0,2.537476828
1,1,0,9.78645495,9,0,4,0,1,0,0,2.298417929
1,2,2,10.25152432,14,0,3,1,0,0,0,2.25980415
1,2,2,5.355486292,20,0,2,0,1,0,0,1.321343301
1,0,2,9.099015537,23,0,3,0,1,0,0,0.949974228
0,0,2,9.41569994,25,0,2,1,0,0,1,0.818786616
1,0,1,14.13285043,14,1,3,0,0,0,0,2.339224513
1,0,2,18.81279998,9,0,2,0,1,0,0,2.682776288
1,0,1,6.58642555,20,1,1,1,0,0,0,1.543837471
1,0,2,0.844009372,27,0,3,1,0,0,0,0.196901105
1,2,2,9.92590251,6,0,3,0,0,0,0,2.748610257
0,3,1,10.88922664,25,1,2,1,0,1,0,1.104893788
1,0,1,3.368811023,2,0,2,1,0,0,0,2.553439811
0,3,2,15.20929213,1,0,3,1,0,0,1,3.274233459
0,0,2,19.69858217,5,1,3,0,0,0,0,3.186060378
0,0,1,18.91549434,20,0,3,1,0,0,0,1.72211575
0,0,4,3.942120776,8,0,2,1,1,0,0,2.338046358
1,1,2,17.5072648,9,1,4,1,1,0,0,3.273998748
0,3,4,14.08987273,3,0,3,0,0,0,0,2.993502391
0,1,2,9.076931276,26,1,3,1,0,0,0,0.896397899
1,0,2,10.81221989,2,0,3,0,0,0,0,2.961055259
1,1,3,16.9920035,8,0,1,1,0,0,0,2.674351095
1,0,2,9.602698793,23,0,0,1,1,0,0,1.217873151
0,2,2,7.464147382,21,1,3,0,0,0,0,1.36559111
1,1,1,9.864949861,16,0,2,0,0,0,1,1.522274845
1,0,2,11.58259608,13,1,3,0,0,0,0,2.231402397
0,1,1,3.781553076,9,0,2,1,0,0,0,2.135266355
1,1,1,18.01815461,12,0,2,0,0,0,0,2.255698915
1,0,0,13.48373898,11,1,1,1,0,1,0,2.751145788
1,1,0,12.66537835,26,0,3,1,1,0,0,0.897634159
1,0,4,1.989924524,0,0,1,1,0,0,1,3.117354435
0,2,1,12.08347876,27,0,3,1,0,1,0,1.287595131
1,2,2,2.419213245,21,0,2,0,0,0,0,0.571053098
1,2,3,1.573953504,28,0,3,1,0,0,0,0.581355799
0,1,2,10.54621791,18,0,1,0,0,1,0,1.643462404
1,1,1,8.055710681,18,0,1,0,0,0,0,1.234844041
0,0,2,11.7762054,5,0,3,0,1,0,1,2.96809362
1,2,2,1.784443361,12,0,2,1,0,0,0,2.00929848
0,0,2,8.619661257,18,0,1,1,0,0,0,1.146086034
0,0,2,3.495734301,12,1,4,0,0,0,0,2.192363198
0,0,4,19.74200172,26,1,1,1,0,0,0,0.945730873
0,0,2,11.22300425,25,0,2,1,0,0,0,0.567250028
1,1,1,13.74873722,21,0,1,0,0,0,0,0.970764347
0,0,2,6.508365614,20,1,2,1,0,1,1,1.656060126
1,2,0,1.894778296,3,0,2,0,0,1,0,2.839313249
0,0,3,19.51741726,23,0,1,0,0,1,1,0.18981806
0,0,1,5.725180708,1,0,3,1,0,0,0,3.258294685
0,1,1,8.476163703,14,1,2,0,0,0,0,1.920055853
1,0,3,12.99727843,11,0,3,0,0,0,0,2.021771494
0,0,2,0.493945954,29,1,1,1,0,0,0,0.125933075
1,2,1,16.20518261,26,1,2,1,0,0,0,1.287013412
1,0,2,10.7315638,6,0,0,1,0,1,0,2.591426703
1,2,3,5.564343741,19,1,3,0,0,0,0,1.463379649
1,0,1,1.232159706,17,0,3,0,0,0,0,1.465549386
1,0,3,3.249968309,22,0,3,1,1,0,1,1.710466838
1,2,0,17.90067718,12,0,2,0,1,0,1,2.288505685
1,0,2,13.72048448,16,0,3,0,0,1,0,1.960968849
1,0,3,4.998034433,3,0,3,0,0,0,0,2.621623326
1,0,1,1.312015299,24,0,0,1,0,0,0,0.768316386
0,0,2,13.81230625,13,0,1,0,0,1,0,1.806406345
0,2,1,11.44815452,19,0,2,0,0,0,0,0.881866353
0,0,2,8.090390489,27,0,3,0,1,0,0,0.817068221
0,2,2,7.272228984,12,1,0,0,0,0,0,1.446132528
0,2,2,4.336285519,2,0,3,0,1,0,0,3.339094362
1,0,1,13.39222513,25,0,2,0,0,0,0,0.819625478
1,3,1,19.41336056,25,0,2,0,0,0,0,0.676817973
1,0,0,3.514304917,17,0,1,0,1,0,1,1.389544874
1,3,1,11.9423324,13,0,2,0,1,0,1,1.991508414
1,0,2,8.483701115,14,0,0,0,1,0,0,1.63986755
1,1,3,8.933774435,2,0,0,0,1,0,0,2.511743021
1,0,2,5.082945603,0,0,3,0,0,1,0,2.98391995
0,0,2,16.50269751,25,1,2,0,0,1,0,1.258654854
0,1,4,9.705112083,23,1,2,0,0,0,0,1.417929927
0,2,2,10.86811704,16,0,1,1,0,1,0,1.597016572
0,0,3,6.095218256,2,1,2,0,1,0,0,3.088699868
1,0,2,3.636169313,13,0,0,1,1,0,0,1.641341443
1,2,1,1.718207764,2,0,2,0,1,0,0,2.586870656
1,1,0,14.28238282,12,1,2,0,0,0,0,2.389032645
0,3,2,3.924685634,14,0,2,1,0,0,0,1.8981464
1,2,1,13.80150708,17,0,4,0,1,0,0,2.110487975
1,3,1,7.807528921,13,0,2,0,0,0,0,1.700273589
1,2,2,8.31549602,20,0,2,1,0,0,0,1.044499995
0,0,2,9.383549922,25,0,2,0,1,0,0,1.194166134
